SMILES,frequency,ndummys
c1cnc2nc([*:1])nn2c1,38,1
O=C1CC[C@H]([*:1])O1,38,1
C/C=C/C=C/C(=O)[*:1],38,1
Cc1nc2ccccc2nc1[*:1],38,1
c1cc2[nH]ncc2cc1[*:1],38,1
C[C@@H](O)CCC(=O)[*:1],38,1
CC[C@H](C(=O)[O-])[*:1],38,1
c1ccn2cc([*:1])[nH+]c2c1,38,1
c1cc2nnc([*:1])n2nc1[*:2],38,2
C1=C([*:1])N=N[C@@H]1[*:2],38,2
O=c1[nH]c2c(cc1[*:1])CCCC2,38,1
OC1([*:2])CC[NH+]([*:1])CC1,38,2
O=C1CC[C@@H]([*:1])CN1[*:2],38,2
CC(C)(C)[C@@H](C(N)=O)[*:1],38,1
c1ccc2c(c1)-c1ccccc1C2[*:1],38,1
C1Cc2nc([*:2])nc([*:1])c2C1,38,2
Cc1cc2c(cc1C)O[C@H]([*:1])C2,38,1
c1c([*:2])cc([*:1])c2c1OCCO2,38,2
c1ccc2nc([*:1])c([*:2])cc2c1,38,2
C1C[C@@H]2O[C@H]1C[C@H]2[*:1],38,1
[NH3+][C@H]1CCC[C@H]([*:1])C1,38,1
Clc1cc([*:1])c([*:3])cc1[*:2],38,3
[NH3+][C@H]1CCC[C@@H]([*:1])C1,38,1
C[C@](C(=O)[O-])(C(F)(F)F)[*:1],38,1
Nc1c([*:2])c(=O)[nH]c(=O)n1[*:1],38,2
C[C@H](C(=O)[*:1])S(=O)(=O)[*:2],38,2
C[C@@H]1CCc2c(sc([*:1])c2[*:2])C1,38,2
C1CC[C@@H]([*:2])[C@@H]([*:1])CC1,38,2
O[C@H]1C[C@@H]([*:1])[NH+]([*:2])C1,38,2
C1C[C@@H]([*:1])C[C@]([*:2])([*:3])C1,38,3
NC(=O)CCC[*:1],37,1
S=C(S[*:1])[*:2],37,2
Nc1ccc(F)cc1[*:1],37,1
Cl/C=C(\Cl)C[*:1],37,1
O=C1CSC(=O)N1[*:1],37,1
c1ncn([*:1])c1[*:2],37,2
Cc1cn([*:1])nc1[*:2],37,2
Cc1cccc([*:1])[nH+]1,37,1
C[C@](O)([*:1])[*:2],37,2
C[C@@H]([NH3+])C[*:1],37,1
Clc1ccc([*:1])c(Br)c1,37,1
Cc1cc(Br)cc(C)c1[*:1],37,1
c1cc2c(cc1[*:1])COCO2,37,1
Clc1ccc2nc([*:1])cn2c1,37,1
C1CC([*:1])([*:2])CCS1,37,2
O[C@@H]1CCC[C@@H]1[*:1],37,1
C1CC[NH2+][C@H]([*:1])CC1,37,1
FC(F)(F)[C@H]([*:1])[*:2],37,2
CCC[C@H](C(=O)[*:2])[*:1],37,2
C[C@H]1CCC[C@H](C)C1[*:1],37,1
C[C@@H](C[C@@H](C)O)C[*:1],37,1
O=C1N=C([*:1])S/C1=C\[*:2],37,2
c1c([*:1])sc([*:3])c1[*:2],37,3
O[C@@]1([*:2])CCN([*:1])C1,37,2
O=C1NCCN([*:1])[C@H]1[*:2],37,2
Cc1cc([*:1])nc([*:2])[nH+]1,37,2
c1cc2c3c(ccc([*:1])c3c1)CC2,37,1
C[C@H]1CC([*:1])C[C@H](C)C1,37,1
O=C1NCCN([*:1])[C@@H]1[*:2],37,2
O=c1n([*:1])c2ccccc2n1[*:2],37,2
O=c1c2cnn([*:2])c2ncn1[*:1],37,2
O[C@H]1Cc2ccccc2[C@H]1[*:1],37,1
c1cc2c(cc1[*:1])N([*:2])CC2,37,2
C([C@@H](C[*:3])[*:1])[*:2],37,3
C[C@H]1Oc2ccc([*:1])cc2NC1=O,37,1
Cc1c([*:2])oc2ccc([*:1])cc12,37,2
Cc1ccc2cc([*:1])c(=O)[nH]c2c1,37,1
C[C@@H]1C[C@H]([*:1])CN1[*:2],37,2
C1=C[C@@H]([*:2])C[C@@H]1[*:1],37,2
[NH3+][C@@H]1CC[C@@H]([*:1])C1,37,1
O=C1N[C@@H]([*:1])C(=O)N1[*:2],37,2
O=C1CCC2(CCN([*:1])CC2)CN1[*:2],37,2
O=C1NC(=O)N([*:2])C(=O)C1=C[*:1],37,2
C[C@@H]1CCC[C@@]([*:1])([*:2])C1,37,2
Cn1c([*:1])c([*:2])c(=O)n(C)c1=O,37,2
C[C@H]1Cc2cc([*:1])c([*:2])cc2O1,37,2
O=c1[nH]c([*:1])nc2scc([*:2])c12,37,2
C[C@H]1C[NH+]2CCCC[C@@H]2CN1[*:1],37,1
CC1=C([*:1])[C@@H]([*:2])NC(=O)N1,37,2
C[C@H](C(=O)[*:1])S(=O)(=O)C[*:2],37,2
O=C1[C@H]2CC=CC[C@@H]2C(=O)N1[*:1],37,1
O=C(/N=c1\sc2cc([*:3])ccc2n1[*:1])[*:2],37,3
O=C1C([O-])=C([*:2])[C@@H]([*:3])N1[*:1],37,3
Cc1ccnn1[*:1],36,1
CC(C)(CO)[*:1],36,1
C1=C([*:1])OCCC1,36,1
OC1([*:1])CCSCC1,36,1
Nc1cc(F)ccc1[*:1],36,1
CC[C@@H](O)C[*:1],36,1
[NH3+]CC(=O)[*:1],36,1
CC(C)CC[C@@H](C)[*:1],36,1
Nc1ccc([*:2])nc1[*:1],36,2
C1C[NH2+]CCN([*:1])C1,36,1
c1nc([*:1])n([*:2])n1,36,2
n1[n-]c([*:2])nc1[*:1],36,2
Clc1cccc2cc([*:1])oc12,36,1
Clc1cc([*:1])cnc1[*:2],36,2
[O-][S@+](C[*:1])[*:2],36,2
O=c1ccc2cc([*:1])ccc2o1,36,1
C[C@H](O)CC(C)(C)C[*:1],36,1
O=C(NNC(=S)N[*:2])[*:1],36,2
Clc1cc2c(cc1[*:1])OCCO2,36,1
Cc1cnc([*:2])c(C)c1[*:1],36,2
Cc1nc2ccccc2c(=O)n1[*:1],36,1
c1cc2c(s1)CCS[C@H]2[*:1],36,1
C[C@H](C[C@@H](C)O)C[*:1],36,1
Oc1c(Br)cc([*:2])cc1[*:1],36,2
C[C@H]1CN([*:1])C[C@@H]1C,36,1
C1CN([*:1])CCn2c1nnc2[*:2],36,2
c1cc([*:1])c([*:3])nc1[*:2],36,3
c1ccc2c(c1)CC[C@H]([*:1])C2,36,1
Cc1sc([*:2])c([*:3])c1[*:1],36,3
C1=C([*:2])CC[NH+]([*:1])C1,36,2
O=C([O-])[C@H](C[*:1])[*:2],36,2
C[C@@H]1CO[C@@H](C)CN1[*:1],36,1
Fc1ccc2c(c1)[C@H]([*:1])CCS2,36,1
CC[C@@](C)([NH3+])C(=O)[*:1],36,1
C1CCc2sc([*:1])c([*:2])c2CC1,36,2
C[C@@](N)(C(=O)[*:1])C(F)(F)F,36,1
[NH3+][C@H]1CCCCC[C@@H]1[*:1],36,1
C1C[C@@]2(CO1)C[C@H]([*:1])CCO2,36,1
c1ccc2c(c1)CC[C@@]21C[C@H]1[*:1],36,1
O=c1[nH]c([*:1])nc2sc3c(c12)CCCC3,36,1
C[C@@H]1Cc2cc([*:1])c([*:2])cc2O1,36,2
c1ncc([*:1])o1,35,1
Oc1cccnc1[*:1],35,1
CC[C@H](CCO)C[*:1],35,1
C[NH+](C[*:2])[*:1],35,2
Cn1nc([*:1])nc1[*:2],35,2
Cn1c([*:1])cc2ccccc21,35,1
C[C@H](O)CCC(=O)[*:1],35,1
c1ccc2c(c1)OCCN2[*:1],35,1
Cc1cc(=O)n(C)cc1[*:1],35,1
Nc1cccc2oc([*:1])nc12,35,1
C[C@H](C(C)(C)C)[*:1],35,1
Brc1ccc([*:1])c(Br)c1,35,1
Fc1cc([*:1])c(Cl)cc1Cl,35,1
Cc1nc2cc([*:1])ccc2n1C,35,1
Clc1ccc2oc([*:1])nc2c1,35,1
CN1CC[C@@H]([*:1])C1=O,35,1
[O-]c1cn([*:2])nc1[*:1],35,2
C[C@H](O)[C@@H](C)[*:1],35,1
c1cc([*:2])[nH+]nc1[*:1],35,2
c1ccc2c(c1)CN([*:1])CCO2,35,1
C1C[C@]([*:1])([*:2])CO1,35,2
[NH3+][C@@H](C[*:2])[*:1],35,2
C1=C([*:1])N=N[C@H]1[*:2],35,2
c1cc2sc([*:2])nc2cc1[*:1],35,2
c1cc([*:2])c([*:3])nc1[*:1],35,3
C1CC[C@H]([*:1])N([*:2])CC1,35,2
C[C@@H]1[NH2+]CC[C@H]1[*:1],35,1
OC1([*:1])CC[NH+]([*:2])CC1,35,2
Cn1ncc2c([*:1])nc([*:2])nc21,35,2
O=C(C[S@+]([O-])C[*:1])[*:2],35,2
C[C@H]1CC[C@@H](C)N([*:1])C1,35,1
[NH3+][C@H]1CC[C@H]([*:1])C1,35,1
C[C@H]1CCN([*:1])[C@@H](C)C1,35,1
c1nc([*:2])nc2c1CN([*:1])CC2,35,2
C[C@@H]1CN([*:1])C[C@@H](C)S1,35,1
C1CC[C@H]2[C@H](C1)CCCN2[*:1],35,1
C1CC[C@@H]2CN([*:1])C[C@H]2C1,35,1
NC1=[NH+]C[C@H]([*:1])N1[*:2],35,2
Nc1c([*:1])c2nc3ccccc3nc2n1[*:2],35,2
CN1C(=O)C[C@H]([*:1])[C@H]1[*:2],35,2
c1ccc2c(c1)O[C@@H]([*:1])CN2[*:2],35,2
C[NH+]1[C@@H]2CC[C@H]1CN([*:1])CC2,35,1
C1[C@@H]([*:3])[C@@H]([*:2])CN1[*:1],35,3
C=CCC[*:1],34,1
Nc1nonc1[*:1],34,1
C(O[*:1])[*:2],34,2
CC1CC([*:1])C1,34,1
Cc1cc([*:1])ccn1,34,1
CC[C@H](O)C[*:1],34,1
Cc1cccc(Cl)c1[*:1],34,1
Cc1cc([*:1])ncc1Br,34,1
CC(=O)[C@H](C)[*:1],34,1
Nc1ccc([*:1])c(Cl)c1,34,1
Oc1cc2ccccc2cc1[*:1],34,1
C[C@](O)(C[*:2])[*:1],34,2
C[C@H]1CCC[NH+]1[*:1],34,1
Clc1ccc(Cl)c([*:1])n1,34,1
C(C([*:1])[*:3])[*:2],34,3
S=c1sc([*:1])nn1[*:2],34,2
CCC[C@@H](C)C(=O)[*:1],34,1
Fc1ccc2ncnc([*:1])c2c1,34,1
CN(S(=O)(=O)[*:2])[*:1],34,2
Cc1nn([*:2])c(Cl)c1[*:1],34,2
CC[C@@H](C(=O)[O-])[*:1],34,1
Nc1ccc2c(c1)CC[C@H]2[*:1],34,1
CC(C)C[C@@H](C[*:1])[*:2],34,2
F[C@]1([*:1])CCN([*:2])C1,34,2
c1c([*:2])sc([*:3])c1[*:1],34,3
C[C@@H]1Cc2cc([*:1])ccc2O1,34,1
Cc1ccc2c([*:1])cc(=O)oc2c1,34,1
O=C1NC[C@@H]2CN([*:1])CCN12,34,1
O=C1C[C@@H]([*:1])c2ccccc2N1,34,1
Cc1nc([*:2])[nH]c(=O)c1[*:1],34,2
c1cc2[nH]nc([*:2])c2cc1[*:1],34,2
C1CC[C@H]2CN([*:1])C[C@H]2C1,34,1
CC1(C)[C@H]([*:2])[C@@H]1[*:1],34,2
C[C@@H]1CC(=O)Nc2ccccc2N1[*:1],34,1
O=C1NCC[NH+]([*:2])[C@H]1[*:1],34,2
CC(C)([C@@H]([*:1])[*:2])[*:3],34,3
C[C@@H]1CCC[C@]([*:1])([*:2])C1,34,2
CC1(C)CC[C@@H]([*:2])[C@@H]1[*:1],34,2
CC1(C)[C@H]2OCC[C@@H]2[C@@H]1[*:1],34,1
CC1(C)[C@H]([*:1])[C@H]2CCO[C@@H]21,34,1
N=C1C(=C[*:1])C(=O)N=C2SC([*:2])=NN12,34,2
C=CC(=O)[*:1],33,1
CCC(CC)C[*:1],33,1
CC(C)(C#N)[*:1],33,1
Brc1cccc([*:1])n1,33,1
CN1N=C([*:1])CCC1=O,33,1
O=C(CCCC[*:1])[*:2],33,2
C[C@H]([NH3+])C[*:1],33,1
Cn1c([*:1])n[nH]c1=S,33,1
Cc1ccnc2nc([*:1])nn12,33,1
ClC1(Cl)C[C@@H]1[*:1],33,1
Nc1ccc2oc([*:1])nc2c1,33,1
OCC[C@H](C[*:1])[*:2],33,2
CN1CC[C@H]([*:1])C1=O,33,1
CC(C)[C@](C)(O)C[*:1],33,1
Cc1cc(C)c(O)c([*:1])c1,33,1
O=c1cc([*:2])ncn1[*:1],33,2
[O-][S+]1CCN([*:1])CC1,33,1
Oc1c(Cl)cc(Cl)cc1[*:1],33,1
Brc1ccc2nc([*:1])sc2c1,33,1
C[C@@](CO)([*:1])[*:2],33,2
C1C([*:1])C[NH+]1[*:2],33,2
OCC[C@@H](C[*:1])[*:2],33,2
Cc1nc([*:1])n([*:2])c1C,33,2
C1[NH2+]CC1([*:1])[*:2],33,2
Cc1cc([*:2])c([*:1])cc1F,33,2
Cc1ccc([*:1])c(C)c1[*:2],33,2
[O-]c1ccc([*:2])cc1[*:1],33,2
CN1CCN([*:1])C(C)(C)C1=O,33,1
CC(C)C[C@H](C[*:1])[*:2],33,2
C[C@H]1CN([*:1])c2ccccc21,33,1
c1cc2c(s1)CCS[C@@H]2[*:1],33,1
Clc1cc([*:2])cc(Cl)c1[*:1],33,2
n1c([*:2])nn([*:1])c1[*:3],33,3
n1c([*:1])oc([*:3])c1[*:2],33,3
F[C@@]1([*:1])CCN([*:2])C1,33,2
c1ccc2c(c1)CCS[C@@H]2[*:1],33,1
O=c1cc([*:1])[nH+]c2sccn12,33,1
Cc1c([*:1])sc([*:2])c1[*:3],33,3
C[C@@H]1[NH2+]CC[C@@H]1[*:1],33,1
O[C@H]1Cc2ccccc2[C@@H]1[*:1],33,1
c1cc2cc([*:2])[nH]c2cc1[*:1],33,2
c1cc2[nH]cc([*:1])c2cc1[*:2],33,2
c1cnc2c([*:1])ccc([*:2])c2c1,33,2
C1=C[C@H]([*:2])C[C@H]1[*:1],33,2
C1CCc2sc([*:2])c([*:1])c2CC1,33,2
C1C[NH2+][C@@]([*:1])([*:2])C1,33,2
C[C@H]1Cc2cc([*:1])ccc2N1[*:2],33,2
c1ccc2c([*:1])c([*:2])[nH]c2c1,33,2
C[C@H](C(=O)NNC(=O)[*:2])[*:1],33,2
O=S(=O)(/N=C(\[O-])[*:1])[*:2],33,2
O=c1cc([*:1])c2ccc([*:2])cc2o1,33,2
C1CC([*:1])([*:2])C[NH+]1[*:3],33,3
O=c1[nH]c2ccc([*:1])cc2cc1[*:2],33,2
C[C@H]1CN([*:1])C[C@H]([*:2])O1,33,2
C1=CC[C@H]([*:2])[C@@H]([*:1])C1,33,2
C1C([*:2])=NN([*:3])[C@@H]1[*:1],33,3
c1ccc2c(c1)CC[C@@]21C[C@@H]1[*:1],33,1
O=C1c2ccccc2N[C@@H]([*:1])N1[*:2],33,2
C[C@@H](C(=O)[*:1])S(=O)(=O)C[*:2],33,2
c1ccc2c(c1)C[C@@H]([*:1])N([*:2])C2,33,2
C1CSC([*:1])S1,32,1
CON(C)C(=O)[*:1],32,1
C[C@H](C#N)[*:1],32,1
Cc1nnc([*:1])n1N,32,1
CC[C@@H](O)[*:1],32,1
C(=C\[*:2])\[*:1],32,2
Oc1cc(F)ccc1[*:1],32,1
Clc1cc([*:1])ncn1,32,1
O=C1CCCC[C@H]1[*:1],32,1
C/C(=N/N[*:1])[*:2],32,2
O=C1NCCC[C@H]1[*:1],32,1
Clc1c[nH]c([*:1])c1,32,1
O=C1NCCCC[C@H]1[*:1],32,1
Nc1nc(Cl)cc([*:1])n1,32,1
N#C/C(=C/[*:1])[*:2],32,2
Clc1nsc([*:1])c1[*:2],32,2
Clc1cnc([*:1])nc1[*:2],32,2
O=S(=O)(CCC[*:2])[*:1],32,2
C[C@@H]1CCCN([*:1])CC1,32,1
[O-]/C(C[*:1])=N\[*:2],32,2
Cc1cc(=O)c([*:1])c[nH]1,32,1
O=c1c(Cl)c(Cl)cnn1[*:1],32,1
O=C1COc2cc([*:1])ccc2N1,32,1
Clc1ccc([*:1])c2ccccc12,32,1
Cc1cccc2[nH]c([*:1])nc12,32,1
Fc1cc2c(c([*:1])c1)OCOC2,32,1
Cc1nc([*:1])c2cc[nH]c2n1,32,1
Clc1ccc2[nH]cc([*:1])c2c1,32,1
C/C(=N/NC(=O)C[*:1])[*:2],32,2
Cc1nn([*:1])c(=O)c2ccccc12,32,1
CC(C)[C@H](C(=O)[O-])[*:1],32,1
O=C1C(=O)N([*:2])CCN1[*:1],32,2
O=C(C(=C[*:2])N[*:1])[*:3],32,3
CCC[C@@H](C(=O)[*:2])[*:1],32,2
Cc1nn([*:1])c2sc([*:2])cc12,32,2
C[C@@H](C(C)(C)C[*:2])[*:1],32,2
Cc1[nH]c(=O)[nH]c(=O)c1[*:1],32,1
Cc1cc2c(cc1C)O[C@@H]([*:1])C2,32,1
Cc1[nH]c([*:2])c([*:1])c1[*:3],32,3
C1CC[C@H]2[C@@H](C1)OCCN2[*:1],32,1
C1=CC[C@H]([*:1])[C@H]([*:2])C1,32,2
O=S(=O)(/N=C(\[O-])C[*:1])[*:2],32,2
c1ccc2c(c1)O[C@H]([*:2])CN2[*:1],32,2
c1[nH]c2c([nH+]1)C[C@H]([*:1])NC2,32,1
C1C[C@H]([*:3])[C@@]([*:1])([*:2])C1,32,3
Cn1c(=O)c2c(nc([*:2])n2[*:1])n(C)c1=O,32,2
C1=C[C@@H]2c3cc([*:1])ccc3N[C@@H]([*:2])[C@@H]2C1,32,2
C=CCCC(=O)[*:1],31,1
Nc1ccc([*:1])cc1F,31,1
O=C(C#C[*:2])[*:1],31,2
O[C@]1([*:1])CCSC1,31,1
N[C@H]([*:1])[*:2],31,2
O=C(CCCC[*:2])[*:1],31,2
O=C(CC(F)(F)F)[*:1],31,1
CC(C)CS(=O)(=O)[*:1],31,1
C1CCn2c(nnc2[*:1])C1,31,1
c1cnc2ncc([*:1])n2c1,31,1
Nc1c([*:1])nnn1[*:2],31,2
Oc1cc(F)cc(F)c1[*:1],31,1
Cc1ncc([*:1])n1[*:2],31,2
CC(C)CC[C@H](C)[*:1],31,1
[O-][S@+]([*:1])[*:2],31,2
C[C@@H](Cl)C(=O)[*:1],31,1
C[C@H]1CCCN([*:1])CC1,31,1
O=C1C[NH+]([*:1])CCN1,31,1
O=S(=O)(CCC[*:1])[*:2],31,2
Clc1ccc([*:1])nc1[*:2],31,2
Cc1cnc2c([*:1])cccc2c1,31,1
Cc1nc2ccc([*:1])cc2nc1C,31,1
c1nc2c(c([*:1])n1)CCCC2,31,1
Cc1cnc([*:1])c([*:2])c1,31,2
O=c1c([*:1])coc2ccccc12,31,1
Cc1cc(C)c([*:1])c(Cl)c1,31,1
O=c1cnn([*:1])c2ccccc12,31,1
CC1(C)CSC[C@H]([*:1])C1,31,1
Cc1ncc([*:1])c([*:2])n1,31,2
C1C([*:1])=NO[C@@H]1[*:2],31,2
O=C1NC(=O)[C@@H]([*:1])N1,31,1
C1=NN=C([*:2])[C@H]1[*:1],31,2
O=c1c(Cl)c([*:1])cnn1[*:2],31,2
c1cc2nc([*:2])ccc2cc1[*:1],31,2
Clc1ccc2c(c1)C=C([*:1])CO2,31,1
O=C1O[C@H]([*:1])c2ccccc21,31,1
C(C[*:2])[C@H]([*:1])[*:3],31,3
O=C1Nc2ccccc2S[C@@H]1[*:1],31,1
Cc1ccc2nc([*:1])cc(=O)n2c1,31,1
C[C@@H](CCl)CS(=O)(=O)[*:1],31,1
c1ccc2c([*:2])c([*:1])sc2c1,31,2
Cc1c([*:3])sc([*:2])c1[*:1],31,3
C1C[C@H]([*:2])CCN([*:1])C1,31,2
O=c1oc2cc([*:1])ccc2cc1[*:2],31,2
C[C@@H]1CN([*:1])[C@H](C)CO1,31,1
C[C@H]1CC(=O)Nc2ccccc2N1[*:1],31,1
C1C[NH2+][C@]([*:1])([*:2])C1,31,2
ClC(Cl)(Cl)[C@@H]([*:1])[*:2],31,2
C1=CC[C@@H]2CN([*:1])C[C@H]2C1,31,1
C1CC([*:1])([*:2])CC[NH+]1[*:3],31,3
c1cc2c(s1)CCN([*:1])[C@H]2[*:2],31,2
Br[C@H]1C[C@H]2CC[C@]1([*:1])C2,31,1
O=c1c2sccc2n([*:1])c(=O)n1[*:2],31,2
O=C1NCC[NH+]([*:2])[C@@H]1[*:1],31,2
C[C@]12CCC(=O)N1[C@@H]([*:1])CS2,31,1
O[C@@H]1C[C@@H]([*:2])N([*:1])C1,31,2
c1cc2c3c(c1)[C@@H]([*:1])C[C@H]3CCC2,31,1
C1C[C@@H]([*:3])[C@@]([*:1])([*:2])C1,31,3
NC(=S)C[*:1],30,1
O=C1CSCN1[*:1],30,1
C1COC([*:1])OC1,30,1
CC(C)(C)CC[*:1],30,1
Brc1cnc([*:1])nc1,30,1
CC(=C[*:1])C[*:2],30,2
C[S@+]([O-])C[*:1],30,1
c1cc[n+]([*:1])cc1,30,1
Nc1ccc(F)c([*:1])c1,30,1
CC(C)(C[*:1])C(N)=O,30,1
Nc1ccc(Cl)c([*:1])c1,30,1
CN(C)S(=O)(=O)N[*:1],30,1
ClC1(Cl)C[C@H]1[*:1],30,1
Cc1ccc([*:1])c(Cl)n1,30,1
C1CN([*:1])N=C1[*:2],30,2
CC(C)(C)CC(C)(C)[*:1],30,1
Oc1cc2c(cc1[*:1])OCO2,30,1
Cc1nc([*:2])ncc1[*:1],30,2
C[C@](CO)([*:1])[*:2],30,2
CC(=CC(=O)[*:2])[*:1],30,2
Oc1cc(Cl)cc(Cl)c1[*:1],30,1
CN1C[C@H]([*:1])CCC1=O,30,1
Cc1ccc2c(c1)CCCN2[*:1],30,1
C[C@H]1CCC[C@@H]1[*:1],30,1
[O-][S@@+](C[*:2])[*:1],30,2
Clc1ccc([*:1])c2ncccc12,30,1
Clc1cc([*:1])cc([*:2])n1,30,2
C[C@H]1CC[C@@H]([*:1])C1,30,1
c1cc2c(c([*:1])c1)OCCCO2,30,1
O[C@H]1CCC[NH+]([*:1])C1,30,1
Cc1c([*:1])oc2ccc(F)cc12,30,1
Cc1csc2nc([*:1])cc(=O)n12,30,1
Cn1c(=O)n([*:1])c2ccccc21,30,1
Clc1cc(Cl)c([*:1])c(Cl)c1,30,1
Cc1ccc([O-])c([*:1])[nH+]1,30,1
O=C1CC[C@H]([*:1])CN1[*:2],30,2
C1CC[NH2+][C@@H]([*:1])CC1,30,1
O=C1N=C([*:1])S/C1=C/[*:2],30,2
n1c([*:2])sc([*:3])c1[*:1],30,3
C[C@H]([C@H](C)[*:1])[*:2],30,2
C[C@@]1([*:1])CCCN([*:2])C1,30,2
Cn1c(N)c([*:1])c(=O)n(C)c1=O,30,1
O=C1O[C@@H]([*:1])Cc2ccccc21,30,1
C[C@@H]1CC([*:1])C[C@H](C)C1,30,1
S=c1n([*:1])nc([*:2])n1[*:3],30,3
Cc1cccc2cc([*:1])c(=O)[nH]c12,30,1
C[C@@H]1Oc2ccc([*:1])cc2NC1=O,30,1
[NH3+][C@@H]1CCCCC[C@H]1[*:1],30,1
CC1CCC2(CC1)NC(=O)N([*:1])C2=O,30,1
C1CC[C@H]2[C@@H](C1)CCCN2[*:1],30,1
O[C@H]1C[C@@H]([*:2])N([*:1])C1,30,2
Cc1nn(C)c2nc([*:1])cc([*:2])c12,30,2
O=c1c2ccccc2n([*:1])c(=O)n1[*:2],30,2
Nc1c([*:1])c(=O)[nH]c(=O)n1[*:2],30,2
C[C@@H]1CN([*:1])CC[C@@H]1[NH3+],30,1
c1c([*:2])nc2c(cnn2[*:3])c1[*:1],30,3
c1ccc2c(c1)[C@@H]([*:2])CCN2[*:1],30,2
C[C@@H]1CN([*:1])C[C@@H]([*:2])O1,30,2
CC1(C)[C@H]([*:2])C[C@@]1(C)[*:1],30,2
c1cc2c(c([*:1])c1)OC[C@H]([*:2])C2,30,2
c1ccc2c(c1)C[C@@H]([*:2])N([*:1])C2,30,2
C1C[C@@H]2C[NH+]([*:2])C[C@H]1CN2[*:1],30,2
C1CC[NH+]2C[C@H]3CN([*:1])C[C@H]3[C@H]2C1,30,1
C(O[*:2])[*:1],29,2
CN(C[*:1])[*:2],29,2
Nc1ccc([*:1])cn1,29,1
O=C(C[*:2])N[*:1],29,2
CC(=C[*:2])C[*:1],29,2
Nc1cc(Cl)ccc1[*:1],29,1
N[C@@H]([*:1])[*:2],29,2
N#C/C(=C\[*:2])[*:1],29,2
C1Cc2nc([*:1])sc2CO1,29,1
N/C(C[*:2])=N/O[*:1],29,2
Cn1nc([*:2])nc1[*:1],29,2
CC(C)[C@@H](C#N)[*:1],29,1
Cc1ccn(C)c(=O)c1[*:1],29,1
O=C1CSc2ccccc2N1[*:1],29,1
Cc1cccc2nc([*:1])cn12,29,1
Cc1cc(C)c(C)c([*:1])c1,29,1
Cn1ncc([*:1])c(Cl)c1=O,29,1
Clc1cc2c(cc1[*:1])OCO2,29,1
O=c1c([*:1])cnc2sccn12,29,1
Cc1cc(C)c([*:1])c(Cl)n1,29,1
Cc1nn(C)c([*:2])c1[*:1],29,2
C1COC2(CCC([*:1])CC2)O1,29,1
c1ccc2c(c1)C[C@H]2[*:1],29,1
O=C1CCCc2ccc([*:1])cc21,29,1
CC(C)(C)S(=O)(=O)CC[*:1],29,1
[NH3+][C@H](C[*:2])[*:1],29,2
Cc1nnc([*:1])c([*:2])c1C,29,2
C[C@H]1CN([*:2])CCN1[*:1],29,2
O=c1[nH]cc([*:2])cc1[*:1],29,2
O=c1[nH]c([*:1])cc2ccccc12,29,1
Cc1cc(C)c([*:1])c([*:2])n1,29,2
C[C@@H]1CN([*:1])c2ccccc21,29,1
c1c[nH+]c([*:1])c([*:2])c1,29,2
C[C@H]1CN([*:1])C[C@H](C)S1,29,1
O=C1O[C@H]([*:1])Cc2ccccc21,29,1
c1cc2c(cn1)nc([*:2])n2[*:1],29,2
C1CC([*:2])([*:3])CCN1[*:1],29,3
C[C@@H]([C@H](O)[*:1])[*:2],29,2
Cc1cc2oc(=O)cc([*:1])c2cc1C,29,1
O=C([C@@H]([*:1])[*:2])[*:3],29,3
c1nc([*:1])c2c3c(sc2n1)CCCC3,29,1
O=C(C[S@+]([O-])C[*:2])[*:1],29,2
c1ccc2c(c1)oc1c([*:1])ncnc12,29,1
O=c1oc2c([*:1])cccc2cc1[*:2],29,2
O=C(C[S@@+]([O-])C[*:2])[*:1],29,2
Clc1cc([*:3])c([*:1])cc1[*:2],29,3
CC1(C)C[C@@H]([*:1])C(C)(C)O1,29,1
Cc1ccc2[nH]c(=O)c([*:1])cc2c1,29,1
Fc1ccc2c(c1)[C@@H]([*:1])CCS2,29,1
Cc1nc2nc([*:1])nn2c(C)c1[*:2],29,2
C1C([*:2])=NN([*:3])[C@H]1[*:1],29,3
[NH3+][C@@H]1CCC[C@@H]([*:1])C1,29,1
C[C@H]1C[C@H]([NH3+])CN([*:1])C1,29,1
C[C@H]1CCc2c(sc([*:1])c2[*:2])C1,29,2
O=C1c2ccccc2N[C@H]([*:2])N1[*:1],29,2
c1ccc2c(c1)c1cc([*:2])ccc1n2[*:1],29,2
O=C1N([*:2])CCC[C@]12CCN([*:1])C2,29,2
O=C1NC(=O)N([*:1])C(=O)/C1=C/[*:2],29,2
C1CN([*:2])C[C@H]([*:1])[C@H]1[*:3],29,3
c1cc2c(c([*:1])c1)OC[C@@H]([*:2])C2,29,2
CC1(C)[C@@H]2CC[C@]1(C)[C@H]([*:1])C2,29,1
C=C(Cl)C[*:1],28,1
O=C(CCCO)[*:1],28,1
CCCCCC(=O)[*:1],28,1
CC1([*:1])OCCO1,28,1
CC[C@H](O)[*:1],28,1
C1=C([*:1])COCC1,28,1
Cc1cnc([*:1])nc1,28,1
Cc1cnc(Cl)nc1[*:1],28,1
Oc1cc(Br)ccc1[*:1],28,1
c1cc2nncn2cc1[*:1],28,1
O=c1[nH]c([*:1])cs1,28,1
Clc1cc([*:1])cnc1Cl,28,1
c1ccc2c([*:1])coc2c1,28,1
Cn1ncc([*:2])c1[*:1],28,2
c1cc2ncc([*:1])cc2s1,28,1
